Date,Open,High,Low,Close*,Adj Close**,SPY Return,Volume
3-Jan-28,17.76,17.76,17.76,17.76,17.76,,-
4-Jan-28,17.72,17.72,17.72,17.72,17.72,-0.225%,-
5-Jan-28,17.55,17.55,17.55,17.55,17.55,-0.959%,-
6-Jan-28,17.66,17.66,17.66,17.66,17.66,0.627%,-
9-Jan-28,17.5,17.5,17.5,17.5,17.5,-0.906%,-
10-Jan-28,17.37,17.37,17.37,17.37,17.37,-0.743%,-
11-Jan-28,17.35,17.35,17.35,17.35,17.35,-0.115%,-
12-Jan-28,17.47,17.47,17.47,17.47,17.47,0.692%,-
13-Jan-28,17.58,17.58,17.58,17.58,17.58,0.630%,-
16-Jan-28,17.29,17.29,17.29,17.29,17.29,-1.650%,-
17-Jan-28,17.3,17.3,17.3,17.3,17.3,0.058%,-
18-Jan-28,17.26,17.26,17.26,17.26,17.26,-0.231%,-
19-Jan-28,17.38,17.38,17.38,17.38,17.38,0.695%,-
20-Jan-28,17.48,17.48,17.48,17.48,17.48,0.575%,-
23-Jan-28,17.64,17.64,17.64,17.64,17.64,0.915%,-
24-Jan-28,17.71,17.71,17.71,17.71,17.71,0.397%,-
25-Jan-28,17.52,17.52,17.52,17.52,17.52,-1.073%,-
26-Jan-28,17.63,17.63,17.63,17.63,17.63,0.628%,-
27-Jan-28,17.69,17.69,17.69,17.69,17.69,0.340%,-
30-Jan-28,17.49,17.49,17.49,17.49,17.49,-1.131%,-
31-Jan-28,17.57,17.57,17.57,17.57,17.57,0.457%,-
1-Feb-28,17.53,17.53,17.53,17.53,17.53,-0.228%,-
2-Feb-28,17.63,17.63,17.63,17.63,17.63,0.570%,-
3-Feb-28,17.4,17.4,17.4,17.4,17.4,-1.305%,-
6-Feb-28,17.45,17.45,17.45,17.45,17.45,0.287%,-
7-Feb-28,17.44,17.44,17.44,17.44,17.44,-0.057%,-
8-Feb-28,17.49,17.49,17.49,17.49,17.49,0.287%,-
9-Feb-28,17.55,17.55,17.55,17.55,17.55,0.343%,-
10-Feb-28,17.54,17.54,17.54,17.54,17.54,-0.057%,-
14-Feb-28,17.44,17.44,17.44,17.44,17.44,-0.570%,-
15-Feb-28,17.4,17.4,17.4,17.4,17.4,-0.229%,-
16-Feb-28,17.35,17.35,17.35,17.35,17.35,-0.287%,-
17-Feb-28,17.04,17.04,17.04,17.04,17.04,-1.787%,-
20-Feb-28,16.95,16.95,16.95,16.95,16.95,-0.528%,-
21-Feb-28,17.11,17.11,17.11,17.11,17.11,0.944%,-
23-Feb-28,17.13,17.13,17.13,17.13,17.13,0.117%,-
24-Feb-28,17.18,17.18,17.18,17.18,17.18,0.292%,-
27-Feb-28,17.11,17.11,17.11,17.11,17.11,-0.407%,-
28-Feb-28,17.16,17.16,17.16,17.16,17.16,0.292%,-
29-Feb-28,17.26,17.26,17.26,17.26,17.26,0.583%,-
1-Mar-28,17.3,17.3,17.3,17.3,17.3,0.232%,-
2-Mar-28,17.3,17.3,17.3,17.3,17.3,0.000%,-
5-Mar-28,17.57,17.57,17.57,17.57,17.57,1.561%,-
6-Mar-28,17.67,17.67,17.67,17.67,17.67,0.569%,-
7-Mar-28,17.58,17.58,17.58,17.58,17.58,-0.509%,-
8-Mar-28,17.64,17.64,17.64,17.64,17.64,0.341%,-
9-Mar-28,17.93,17.93,17.93,17.93,17.93,1.644%,-
12-Mar-28,18,18,18,18,18,0.390%,-
13-Mar-28,17.92,17.92,17.92,17.92,17.92,-0.444%,-
14-Mar-28,17.93,17.93,17.93,17.93,17.93,0.056%,-
15-Mar-28,18.07,18.07,18.07,18.07,18.07,0.781%,-
16-Mar-28,18.26,18.26,18.26,18.26,18.26,1.051%,-
19-Mar-28,18.36,18.36,18.36,18.36,18.36,0.548%,-
20-Mar-28,18.46,18.46,18.46,18.46,18.46,0.545%,-
21-Mar-28,18.65,18.65,18.65,18.65,18.65,1.029%,-
22-Mar-28,18.6,18.6,18.6,18.6,18.6,-0.268%,-
23-Mar-28,18.78,18.78,18.78,18.78,18.78,0.968%,-
26-Mar-28,19.05,19.05,19.05,19.05,19.05,1.438%,-
27-Mar-28,18.94,18.94,18.94,18.94,18.94,-0.577%,-
28-Mar-28,18.89,18.89,18.89,18.89,18.89,-0.264%,-
29-Mar-28,18.95,18.95,18.95,18.95,18.95,0.318%,-
30-Mar-28,19.28,19.28,19.28,19.28,19.28,1.741%,-
2-Apr-28,18.91,18.91,18.91,18.91,18.91,-1.919%,-
3-Apr-28,19.02,19.02,19.02,19.02,19.02,0.582%,-
4-Apr-28,18.99,18.99,18.99,18.99,18.99,-0.158%,-
5-Apr-28,19.23,19.23,19.23,19.23,19.23,1.264%,-
9-Apr-28,19.27,19.27,19.27,19.27,19.27,0.208%,-
10-Apr-28,19.1,19.1,19.1,19.1,19.1,-0.882%,-
11-Apr-28,19.44,19.44,19.44,19.44,19.44,1.780%,-
12-Apr-28,19.41,19.41,19.41,19.41,19.41,-0.154%,-
13-Apr-28,19.73,19.73,19.73,19.73,19.73,1.649%,-
16-Apr-28,19.68,19.68,19.68,19.68,19.68,-0.253%,-
17-Apr-28,19.52,19.52,19.52,19.52,19.52,-0.813%,-
18-Apr-28,19.52,19.52,19.52,19.52,19.52,0.000%,-
19-Apr-28,19.63,19.63,19.63,19.63,19.63,0.564%,-
20-Apr-28,19.34,19.34,19.34,19.34,19.34,-1.477%,-
23-Apr-28,19.15,19.15,19.15,19.15,19.15,-0.982%,-
24-Apr-28,19.25,19.25,19.25,19.25,19.25,0.522%,-
25-Apr-28,19.33,19.33,19.33,19.33,19.33,0.416%,-
26-Apr-28,19.47,19.47,19.47,19.47,19.47,0.724%,-
27-Apr-28,19.68,19.68,19.68,19.68,19.68,1.079%,-
30-Apr-28,19.75,19.75,19.75,19.75,19.75,0.356%,-
1-May-28,19.78,19.78,19.78,19.78,19.78,0.152%,-
2-May-28,19.83,19.83,19.83,19.83,19.83,0.253%,-
3-May-28,19.93,19.93,19.93,19.93,19.93,0.504%,-
4-May-28,20.24,20.24,20.24,20.24,20.24,1.555%,-
7-May-28,20.41,20.41,20.41,20.41,20.41,0.840%,-
8-May-28,20.27,20.27,20.27,20.27,20.27,-0.686%,-
9-May-28,20.24,20.24,20.24,20.24,20.24,-0.148%,-
10-May-28,20.21,20.21,20.21,20.21,20.21,-0.148%,-
11-May-28,20.36,20.36,20.36,20.36,20.36,0.742%,-
14-May-28,20.44,20.44,20.44,20.44,20.44,0.393%,-
15-May-28,20.39,20.39,20.39,20.39,20.39,-0.245%,-
16-May-28,20.05,20.05,20.05,20.05,20.05,-1.667%,-
17-May-28,20.12,20.12,20.12,20.12,20.12,0.349%,-
18-May-28,19.92,19.92,19.92,19.92,19.92,-0.994%,-
21-May-28,19.63,19.63,19.63,19.63,19.63,-1.456%,-
22-May-28,19.36,19.36,19.36,19.36,19.36,-1.375%,-
23-May-28,19.75,19.75,19.75,19.75,19.75,2.014%,-
24-May-28,19.87,19.87,19.87,19.87,19.87,0.608%,-
25-May-28,19.9,19.9,19.9,19.9,19.9,0.151%,-
28-May-28,19.57,19.57,19.57,19.57,19.57,-1.658%,-
29-May-28,19.82,19.82,19.82,19.82,19.82,1.277%,-
31-May-28,20,20,20,20,20,0.908%,-
1-Jun-28,20.07,20.07,20.07,20.07,20.07,0.350%,-
4-Jun-28,19.8,19.8,19.8,19.8,19.8,-1.345%,-
5-Jun-28,19.85,19.85,19.85,19.85,19.85,0.253%,-
6-Jun-28,19.66,19.66,19.66,19.66,19.66,-0.957%,-
7-Jun-28,19.61,19.61,19.61,19.61,19.61,-0.254%,-
8-Jun-28,19.37,19.37,19.37,19.37,19.37,-1.224%,-
11-Jun-28,18.68,18.68,18.68,18.68,18.68,-3.562%,-
12-Jun-28,18.34,18.34,18.34,18.34,18.34,-1.820%,-
13-Jun-28,18.89,18.89,18.89,18.89,18.89,2.999%,-
14-Jun-28,19.05,19.05,19.05,19.05,19.05,0.847%,-
15-Jun-28,18.74,18.74,18.74,18.74,18.74,-1.627%,-
18-Jun-28,18.4,18.4,18.4,18.4,18.4,-1.814%,-
19-Jun-28,18.34,18.34,18.34,18.34,18.34,-0.326%,-
20-Jun-28,18.57,18.57,18.57,18.57,18.57,1.254%,-
21-Jun-28,18.56,18.56,18.56,18.56,18.56,-0.054%,-
